t,Estimated y'(t)
1.0,4.0
1.01,4.02
1.02,4.040250437032321
1.03,4.06075281873467
1.04,4.081508667706456
1.05,4.102519521508697
1.06,4.123786932663944
1.07,4.145312468656205
1.08,4.1670977119308725
1.09,4.189144259894661
1.1,4.211453724915546
1.11,4.234027734322711
1.12,4.2568679304065
1.1300000000000001,4.27997597041837
1.1400000000000001,4.303353526570858
1.1500000000000001,4.327002286037543
1.1600000000000001,4.350923950953022
1.1700000000000002,4.375120238412883
1.1800000000000002,4.39959288047369
1.1900000000000002,4.424343624152964
1.2000000000000002,4.449374231429183
1.2100000000000002,4.47468647924177
1.2200000000000002,4.500282159491097
1.2300000000000002,4.526163079038491
1.2400000000000002,4.5523310597062405
1.2500000000000002,4.578787938277615
1.2600000000000002,4.605535566496878
1.2700000000000002,4.632575811069311
1.2800000000000002,4.659910553661247
1.2900000000000003,4.687541690900091
1.3000000000000003,4.715471134374366
1.3100000000000003,4.743700810633744
1.3200000000000003,4.772232661189094
1.3300000000000003,4.801068642512531
1.3400000000000003,4.830210726037462
1.3500000000000003,4.859660898158645
1.3600000000000003,4.889421160232246
1.3700000000000003,4.919493528575902
1.3800000000000003,4.949880034468788
1.3900000000000003,4.9805827241516845
1.4000000000000004,5.011603658827051
1.4100000000000004,5.0429449146591026
1.4200000000000004,5.074608582773889
1.4300000000000004,5.106596769259379
1.4400000000000004,5.1389115951655455
1.4500000000000004,5.171555196504453
1.4600000000000004,5.204529724250352
1.4700000000000004,5.237837344339773
1.4800000000000004,5.271480237671626
1.4900000000000004,5.305460600107297
1.5000000000000004,5.3397806424707595
